bill,date,code,sp,quantity,price,revenue,discount
,,TM-801207,35-6 Toyota Noah,1,"89,000","44,000","45,000"
,,TM-439073,61 BMW Z4,1,"89,000","44,000","45,000"
,,TM-801115,14 Formula Renault 3.5,1,"89,000","44,000","45,000"
,,TM-392460,120 Nissan Leaf SP,1,"89,000","44,000","45,000"
20013,23/07/2023,TM-833291,B-03 Bộ Con Quay Ragna,1,"379,000","74,000","305,000"
,,TM-861096,B-40 Beybladeburst Launcher Grip,1,"199,000","25,000","174,000"
,,TM-833345,B-12 Bộ Con Quay Deathsizer,1,"379,000","74,000","305,000"
,,TM-861096,B-40 Beybladeburst Launcher Grip,1,"199,000","25,000","174,000"
20014,23/07/2023,TM-875017,Toystory 09  Ham And Andy'S Chair,1,"180,000","90,000","90,000"
20015,23/07/2023,BD31212Z,OG Elliana Doll W/ Riding Outfit (Hs),1,"979,000","299,000","680,000"
,,BD60060Z,OG Deluxe Retro Bowling Outfit,1,"569,000","100,000","469,000"
,,BD60060Z,OG Deluxe Retro Bowling Outfit,1,"569,000","100,000","469,000"
20016,23/07/2023,HP32247,Máy làm đá bào Harp,1,"1,090,000","990,000","100,000"
,,SG 479,Thử thách IQ Six Pro,1,"279,000","279,000",
,,SG 302,Thử thách IQ Love,1,"329,000","329,000",
20017,23/07/2023,SG 467,Thử thách IQ Circuit,1,"279,000","279,000",
20018,23/07/2023,SG 423,Thử thách IQ hạt tròn,1,"279,000","279,000",
,,TM-616887,Tomica 4D Toyota 86Gr,1,"379,000","189,000","190,000"
20019,23/07/2023,MAG-701005,Bộ cơ bản 30 mảnh,1,"1,290,000","990,000","300,000"
20020,23/07/2023,SG 531,Thử thách Bánh Xe Rừng Xanh,1,"590,000","590,000",
,,SG 531,Thử thách Bánh Xe Rừng Xanh,1,"590,000","590,000",
,,SG 024,Công Chúa Bạch Tuyết,1,"690,000","621,000","69,000"
,,PL6975,Woman with Cat,1,"199,000",,"199,000"
20021,23/07/2023,TM-394808,Megaton Dump,1,"1,200,000","720,000","480,000"
20022,23/07/2023,MAG-701007,Bộ cơ bản 62 mảnh,1,"1,990,000","1,990,000",
20023,23/07/2023,SG 301,Thử thách IQ Digits,1,"329,000","329,000",
20024,23/07/2023,SG 467,Thử thách IQ Circuit,1,"279,000","279,000",
150001,23/07/2023,AN2802Z,Thế giới đồng quê Terra,1,"990,000","990,000",
,,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
150002,23/07/2023,DL32694,Xe Cấp Cứu Bệnh Viện Dalimi,1,"1,190,000","1,190,000",
,,DL73000,Búp Bê Doremi Dalimi,1,"790,000","790,000",
150003,23/07/2023,SG 098,Thử thách Đảo kho báu,1,"590,000","590,000",
,,SG 467,Thử thách IQ Circuit,1,"279,000","279,000",
150004,23/07/2023,SG 301,Thử thách IQ Digits,1,"329,000","329,000",
,,SG 467,Thử thách IQ Circuit,1,"279,000","279,000",
,,SG 401,Thử thách IQ Mini,1,"149,000","139,000","10,000"
,,SGM 506,Thử Thách Tập Hợp Chim Cánh Cụt,1,"590,000","551,000","39,000"
150005,23/07/2023,SGM 506,Thử Thách Tập Hợp Chim Cánh Cụt,1,"590,000","551,000","39,000"
,,SG 401,Thử thách IQ Mini,1,"149,000","139,000","10,000"
150006,23/07/2023,DL73243,Máy Hút Bụi Cầm Tay Dalimi,1,"890,000","890,000",
150007,23/07/2023,AQB-30088,Bộ AQB_ Finding Dory (cơ bản),1,"479,000","479,000",
,,AQB-30078,Bộ AQB_ Finding Dory,1,"649,000","519,000","130,000"
150008,23/07/2023,DL32676,Cửa hàng Hamburger Dalimi,1,"1,090,000","1,090,000",
150009,23/07/2023,SG 301,Thử thách IQ Digits,1,"329,000","329,000",
150010,23/07/2023,SG 302,Thử thách IQ Love,1,"329,000","329,000",
150011,23/07/2023,DL73045,Bệnh Viện Thú Cưng Dalimi,1,"790,000","790,000",
150012,23/07/2023,SG 423,Thử thách IQ hạt tròn,1,"279,000","279,000",
150013,23/07/2023,HP32614,Máy làm huy hiệu Harp,1,"890,000","890,000",
150014,23/07/2023,HP32614,Máy làm huy hiệu Harp,1,"890,000","890,000",
150015,23/07/2023,PL70378,Hiệp sĩ người lùn,1,"149,000","149,000",
150016,23/07/2023,HP32257,Máy làm sticker 3D Harp,1,"990,000","990,000",
150017,23/07/2023,MAG-715020,Bộ thử thách 30 mảnh,1,"1,290,000","1,090,000","200,000"
150018,23/07/2023,MAG-701005,Bộ cơ bản 30 mảnh,1,"1,290,000","990,000","300,000"
150019,23/07/2023,PL70677,Set phụ kiện cửa hàng thời trang ,1,"349,000","279,000","70,000"
150020,23/07/2023,HP32257,Máy làm sticker 3D Harp,1,"990,000","990,000",
150021,23/07/2023,DL32694,Xe Cấp Cứu Bệnh Viện Dalimi,1,"1,190,000","1,190,000",
150022,23/07/2023,MAG-715019,Bộ thử thách 14 mảnh,1,"690,000","590,000","100,000"
,,MAG-707023,Bộ Xe Thám Hiểm Jungle Rally (Kèm Nhân Vật) ,1,"590,000","590,000",
150023,23/07/2023,SG 301,Thử thách IQ Digits,1,"329,000","329,000",
150024,23/07/2023,DL32650,Bộ tủ lạnh Dalimi,1,"1,190,000","1,071,000","119,000"
170001,23/07/2023,WH1016Z,Xe nâng nhỏ Driven,1,"429,000","429,000",
,,125YYFL,Yoyo Promotion Funnyland,1,"139,000",,"139,000"
170002,23/07/2023,TM-801733,14 Formula Renault 3.5 SP,1,"89,000","44,000","45,000"
,,TM-801009,40 Nissan Fairlady Nismo,1,"89,000","44,000","45,000"
,,TM-472261,Đồ chơi 10 Lotus Exige R-GT SP,1,"89,000","44,000","45,000"
,,TM-801092,21 Nissan X-Trail,1,"89,000","44,000","45,000"
,,TM-806516,DM-02 Chim Chim alien,1,"160,000","80,000","80,000"
170003,23/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
170004,23/07/2023,SG 401,Thử thách IQ Mini,1,"149,000","149,000",
