bill,date,code,sp,quantity,price,revenue,discount,%
190011,2/2/2022,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
20002,3/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
20014,3/2/2022,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
20019,3/2/2022,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
20025,3/2/2022,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
150008,3/2/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
150009,3/2/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
150010,3/2/2022,SG 466,Thử thách IQ Blox,1,249000,249000,0,0
150017,3/2/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
150028,3/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
150030,3/2/2022,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
190006,3/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
150001,4/2/2022,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
150005,4/2/2022,SG 488,Thử thách IQ Twist,1,249000,249000,0,0
150008,4/2/2022,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
,,SG 445,Thử thách Quả táo xoắn não,1,399000,399000,0,0
150016,4/2/2022,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
150018,4/2/2022,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
150025,4/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
170005,4/2/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
,,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
170022,4/2/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
20001,5/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
,,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
20011,5/2/2022,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
20018,5/2/2022,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
,,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
20021,5/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
150012,5/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
150014,5/2/2022,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
170003,5/2/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
190002,5/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
20012,6/2/2022,SG 422,Thử thách IQ Focus,1,249000,211000,38000,0.152610442
,,SG 412,Ghép hình lập phương,1,399000,338000,61000,0.152882206
20013,6/2/2022,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
150008,6/2/2022,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
150009,6/2/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
150014,6/2/2022,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
150015,6/2/2022,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
,,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
150019,6/2/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
150020,6/2/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
170010,6/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
,,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
170013,6/2/2022,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
190003,6/2/2022,SG 466,Thử thách IQ Blox,1,249000,249000,0,0
,,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
190004,6/2/2022,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
,,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
190005,6/2/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
20009,7/2/2022,SG 445,Thử thách Quả táo xoắn não,1,399000,399000,0,0
150003,7/2/2022,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
,,SG 422,Thử thách IQ Focus,1,249000,211000,38000,0.152610442
,,SG 412,Ghép hình lập phương,1,399000,338000,61000,0.152882206
SO0001,7/2/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 023,Ba chú heo con,1,690000,690000,0,0
150004,8/2/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
170006,8/2/2022,SG 466,Thử thách IQ Blox,1,249000,249000,0,0
,,SG 466,Thử thách IQ Blox,1,249000,249000,0,0
170007,8/2/2022,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
SO0001,8/2/2022,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
SO0006,8/2/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
SO0008,8/2/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
SO0012,8/2/2022,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
SO0013,8/2/2022,SG 425,Sóc lăn hạt,1,399000,399000,0,0
SO0015,8/2/2022,SG 282,Hòn đảo khủng long huyền bí,1,590000,531000,59000,0.1
,,SG 425,Sóc lăn hạt,1,399000,319000,80000,0.200501253
SO0016,8/2/2022,SG 466,Thử thách IQ Blox,1,249000,249000,0,0
SO0018,8/2/2022,SG 467,Thử thách IQ Circuit,1,279000,269000,10000,0.035842294
SO0022,8/2/2022,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
SO0023,8/2/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
SO0024,8/2/2022,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
SO0025,8/2/2022,SG 488,Thử thách IQ Twist,1,249000,249000,0,0
SO0028,8/2/2022,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
SO0031,8/2/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
SO0036,8/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
SO0042,8/2/2022,SG 455,Thử thách IQ Pro,1,249000,244000,5000,0.020080321
,,SG 467,Thử thách IQ Circuit,1,279000,274000,5000,0.017921147
20007,9/2/2022,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
,,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
150004,9/2/2022,SG 423,Thử thách IQ hạt tròn,1,249000,211000,38000,0.152610442
,,SG 445,Thử thách Quả táo xoắn não,1,399000,338000,61000,0.152882206
170006,9/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
190002,10/2/2022,SG 421,Nhảy qua nào,1,399000,399000,0,0
20004,11/2/2022,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
20006,11/2/2022,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
150007,11/2/2022,SG 466,Thử thách IQ Blox,1,249000,249000,0,0
,,SG 023,Ba chú heo con,1,690000,690000,0,0
170003,11/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
170004,11/2/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
190001,11/2/2022,SG 477,Thử thách IQ Link,1,249000,249000,0,0
,,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
