bill,date,code,sp,quantity,price,revenue,discount,%
150010,15/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
150012,15/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150014,15/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
150015,15/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
150016,15/01/2021,SG 488,Thử thách IQ Twist,1,"249,000","249,000",0,0
170005,15/01/2021,SG 412,Ghép hình lập phương,1,"399,000","399,000",0,0
170016,15/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
280001,15/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
300001,15/01/2021,SG 412,Ghép hình lập phương,1,"399,000","399,000",0,0
20012,16/01/2021,SG 021 ,Cô bé quàng khăn đỏ (HỦy),1,"690,000","690,000",0,0
,,SGT 250-8,Miếng Phô Mai xoắn não,1,"249,000",,"249,000",1
50001,16/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
80004,16/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
80010,16/01/2021,SGM 201,Ghép hình lập phương mở rộng,1,"499,000","499,000",0,0
,,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
,,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
,,SG 425,Sóc lăn hạt,1,"399,000","279,000","120,000",0.3
120009,16/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
120012,16/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
120013,16/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
120025,16/01/2021,SG 021 ,Cô bé quàng khăn đỏ (HỦy),1,"690,000","690,000",0,0
,,SGT 250-8,Miếng Phô Mai xoắn não,1,"249,000",,"249,000",1
120032,16/01/2021,SGM 201,Ghép hình lập phương mở rộng,1,"499,000","499,000",0,0
140018,16/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
140026,16/01/2021,SG 411,Thử thách IQ ngôi sao,1,"249,000","249,000",0,0
140033,16/01/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
,,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
150002,16/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
150004,16/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
150008,16/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","149,000","100,000",0.4
150009,16/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","149,000","100,000",0.4
150010,16/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","149,000","100,000",0.4
150011,16/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","149,000","100,000",0.4
150013,16/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","149,000","100,000",0.4
150014,16/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
,,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150018,16/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150019,16/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
,,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
150020,16/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
,,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150022,16/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
,,SG 466,Thử thách IQ Blox,1,"249,000","249,000",0,0
150023,16/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
150024,16/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
150025,16/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150026,16/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
,,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
150027,16/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
,,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
150028,16/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","149,000","100,000",0.4
150029,16/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150030,16/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","149,000","100,000",0.4
150031,16/01/2021,SG 444,Thử thách IQ XOXO,1,"249,000","149,000","100,000",0.4
150032,16/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
150033,16/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
150034,16/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150035,16/01/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
,,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
150036,16/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
,,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
150037,16/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
150038,16/01/2021,SG 444,Thử thách IQ XOXO,2,"249,000","498,000",0,0
150039,16/01/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
150040,16/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
150041,16/01/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
,,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
,,SG 421,Nhảy qua nào,1,"399,000","279,000","120,000",0.3
160006,16/01/2021,SG 412,Ghép hình lập phương,1,"399,000","399,000",0,0
160009,16/01/2021,SG 466,Thử thách IQ Blox,1,"249,000","249,000",0,0
