code,name,price,stock,FL Lotte,FL Takashimaya,FL Estella,FL Crescent Mall,Sale Online,FL Event HCM,Kho VP805,Kho GKCPP,Kho FL,Kho ADC,FL Sai Dong,Kho HN_Thanh lý,Kho HCM_Thanh lý
AQB-32618,Hạt AQB Màu Nâu Cam Nhạt (Loại Tròn),"139,000",99,5,,5,,,,,48,19,,22,,
AQB-32628,Hạt AQB màu vàng ngà (loại tròn),"139,000",440,3,,4,,,,,360,39,,34,,
AQB-32638,Hạt AQB màu trắng (loại tròn),"139,000",144,5,,,,,,,120,18,,1,,
AQB-32648,Hạt AQB Màu Xám (Loại Tròn),"139,000",6,3,,,,,,,,3,,,,
AQB-32658,Hạt AQB màu đen (loại tròn),"139,000",422,4,,,,,,,384,15,,19,,
AQB-32668,Hạt AQB màu đỏ (loại kim cương),"139,000",240,2,,9,,,4,,181,16,,28,,
AQB-32678,Hạt AQB màu cam (loại kim cương),"139,000",263,1,,7,,,25,,192,10,,28,,
AQB-32688,Hạt AQB màu vàng (loại kim cương),"139,000",301,7,,11,,,4,,240,15,,24,,
AQB-32698,Hạt AQB màu xanh lá (loại kim cương),"139,000",218,5,,5,,,,,168,13,,27,,
AQB-32708,Hạt AQB màu xanh dương (loại kim cương),"139,000",210,6,,6,,,,,168,21,,9,,
AQB-32718,Hạt AQB màu tím (loại kim cương),"139,000",279,2,,,,,3,,240,13,,18,,3
AQB-32728,Hạt AQB màu hồng (loại kim cương),"139,000",98,4,,,,,4,,72,9,,9,,
AQB-32738,Hạt AQB màu nâu (loại kim cương),"139,000",450,6,,17,,,21,,360,17,,29,,
AQB-79118,Bộ AQB _Bút cầu vồng,"599,000",3,,,,,,3,,,,,,,
AQB-79128,Bộ AQB _Vali Nghệ thuật,"1,029,000",4,,,,,,4,,,,,,,
AQB-79138,Hạt AQB_ Chủ đề Đại dương,"159,000",7,1,,,,,,,2,4,,,,
AQB-79148,Hạt AQB_ Chủ đề Bánh kẹo,"159,000",1,,,,,,,,,1,,,,
AQB-79158,Hạt AQB_ Chủ đề Trang sức,"159,000",6,,,,,,2,,,4,,,,
AQB-79168,Hạt AQB (loại tròn),"149,000",2,,,,,,1,,,1,,,,
AQB-79178,Hạt AQB (loại kim cương),"149,000",14,,,1,,,3,,,10,,,,
AQB-79188,Khay AQB (xếp hạt),"89,000",5,,,,,,,,4,,,,1,
AQB-79198,Bình AQB (phun nước),"89,000",102,14,,10,,,17,,,48,,13,,
AQB-79208,Bút AQB (lấy hạt)_Xanh,"89,000",34,,,,,,,,,34,,,,
AQB-79218,BP 3D Animal Set,"159,000",115,13,,4,,,,,48,30,,20,,
AQB-79238,Hạt AQB_Vòng đeo tay,"159,000",75,8,,8,,,21,,,14,,24,,
AQB-79248,Hạt AQB_ Chủ đề Sylvanian Families,"159,000",11,1,,,,,,,,10,,,,
AQB-79258,AQB Alpha Set,"159,000",158,10,,14,,,20,,48,45,,21,,
AQB-79268,Hình mẫu xếp hạt Aquabeads,"89,000",88,10,24,5,,,27,,6,16,,,,
AQB-79278,Dazzling Ring Set,"159,000",26,4,,5,,,4,,,13,,,,
AQB-79288,BP Crystal Charm Set,"159,000",48,8,,8,,,15,,,11,,6,,
AQB-79298,Hạt AQB_ Chủ đề Thú cưng,"159,000",73,10,,9,,,,,24,20,,10,,
AQB-79638,Hạt AQB_ Mega Bead (24 màu),"649,000",101,20,13,9,,,17,,36,6,,,,
AQB-79648,Khay mẫu AQB (xếp hạt),"89,000",108,12,,,,,24,,24,45,,3,,
AQB-79658,Bút AQB (lấy hạt)_Hồng,"89,000",378,13,,21,,,43,,168,84,,49,,
AQB-79668,Bộ AQB_Frozen,"649,000",1,,,,,,1,,,,,,,
AQB-79688,Bộ AQB_ Công chúa tuyết Frozen,"349,000",1,,,,,,,,,1,,,,
EP-1726,Telephone & Table,"79,000",1,,,,,,,1,,,,,,
EP-2022MKT,Lịch Sylvanian Families 2022,,72,,,,,,,72,,,,,,
EP-4018,Hedgehog Family,"559,000",25,,,13,,,,,,,,12,,
EP-4172,Walnut Squirrel Family,"619,000",1,,,1,,,,,,,,,,
EP-4870,Day at the Seaside,"699,000",2,,,2,,,,,,,,,,
EP-5029,Piano Set,"219,000",1,,,,,,,,,,,,1,
EP-5065,Walnut Squirrel Baby,"169,000",10,,,,,,,,,,,10,,
EP-5187,Bé cún vàng Labrador,"139,000",9,,,,,,,,,,,9,,
EP-5203,Baby Carry Case (Squirrel on Car),"189,000",1,,,,,,,,,,,,1,
EP-5231,Seaside Merry-Go-Round,"449,000",10,,,,,,,,,,,10,,
EP-5245,Boutique Gift Set A,"2,290,000",1,,,1,,,,,,,,,,
EP-5255,Sky Ride Adventure,"690,000",2,,,1,,,,,,,,,,1
EP-5264,Cake Decorating Set,"459,000",11,,,7,,,,,,,,4,,
EP-5311,Gia đình Nhím (Bố/mẹ/chị),"499,000",18,,,14,,,,,,,,4,,
EP-5321,Baby Band Series,"109,000",22,,,14,,,,,,,,,,8
EP-5450,Ngôi nhà trên cây,"1,190,000",3,,,3,,,,,,,,,,
EP-6005,Light up Street Lamp,"249,000",25,,,,,,,,,,,25,,
